,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
 ,Tomas Nido,6,98,284,31,68,15,0,3,28,14,76,0,0,.239
197,Javier Baez,6,144,555,64,132,27,4,17,67,26,147,9,2,.238
 ,Trevor Story,7,94,357,53,85,22,0,16,66,32,122,13,0,.238
 ,Daniel Vogelbach,7,130,386,47,92,19,1,18,59,73,114,0,0,.238
 ,Adam Frazier,7,156,541,61,129,22,4,3,42,46,73,11,6,.238
201,Willy Adames,5,139,563,83,134,31,0,31,98,49,166,8,3,.238
 ,Connor Joe,3,111,404,56,96,20,4,7,28,55,97,6,2,.238
 ,Gilberto Celestino,2,122,311,30,74,12,1,2,24,32,77,4,1,.238
204,Andrew McCutchen,0,134,515,66,122,25,0,17,69,57,124,8,6,.237
205,Miguel Rojas,9,140,471,34,111,19,2,6,36,26,61,9,3,.236
 ,Tommy Pham,0,144,554,89,131,23,1,17,63,56,167,8,3,.236
 ,Jace Peterson,0,112,288,44,68,14,2,8,34,33,85,12,1,.236
 ,Eugenio Suarez,9,150,543,76,128,24,2,31,87,73,196,0,0,.236
 ,Hunter Dozier,6,128,462,51,109,26,4,12,41,34,125,4,3,.236
 ,Dylan Carlson,3,128,432,56,102,30,4,8,42,45,94,5,2,.236
 ,Ezequiel Duran,1,58,208,25,49,10,1,5,25,12,54,4,1,.236
212,Yan Gomes,11,86,277,23,65,12,0,8,31,8,47,2,0,.235
 ,Jesus Aguilar,0,129,464,39,109,19,0,16,51,28,119,1,0,.235
 ,Jorge Polanco,9,104,375,54,88,16,0,16,56,64,95,3,3,.235
 ,Chad Pinder,7,111,361,38,85,18,0,12,42,14,118,2,0,.235
 ,Tony Kemp,4,147,497,61,117,24,2,7,46,45,69,11,1,.235
 ,Daulton Varsho,0,151,531,79,125,23,3,27,74,46,145,16,6,.235
 ,Alfonso Rivas,2,101,251,27,59,5,2,3,25,29,87,6,1,.235
 ,Alfonso Rivas,2,101,251,27,59,5,2,3,25,29,87,6,1,.235
 ,Christopher Morel,1,113,379,55,89,19,4,16,47,38,137,10,7,.235
221,Nelson Cruz,18,124,448,50,105,16,0,10,64,49,119,4,0,.234
 ,Bryson Stott,1,127,427,58,100,19,2,10,49,36,89,12,4,.234
223,Ji-Man Choi,7,113,356,36,83,22,0,11,52,58,123,0,0,.233
 ,Tyrone Taylor,4,120,373,49,87,21,3,17,51,22,102,3,2,.233
 ,Oneil Cruz,0,87,331,45,77,13,4,17,54,28,126,10,4,.233
 ,Emmanuel Rivera,2,102,330,46,77,16,3,12,40,23,83,1,2,.233
 ,Rodolfo Castro,2,71,253,25,59,8,4,11,27,22,74,5,3,.233
228,Ben Gamel,7,115,371,42,86,20,2,9,46,48,98,5,1,.232
229,Brandon Crawford,12,118,407,50,94,15,2,9,52,39,98,1,1,.231
 ,Nick Senzel,4,110,373,45,86,13,0,5,25,30,76,8,5,.231
 ,Alek Thomas,1,113,381,45,88,17,1,8,39,22,74,4,3,.231
232,Seth Brown,4,150,500,55,115,26,3,25,73,51,146,11,2,.230
 ,Nick Fortes,2,72,217,41,50,6,1,9,24,18,45,5,3,.230
234,Wilmer Flores,10,151,525,72,120,28,1,19,71,59,103,0,0,.229
 ,Maikel Franco,9,103,371,31,85,15,0,9,39,12,75,1,0,.229
